annotator	(temporary) BGC id	compound name	biological activity 1	biological activity 2	biological activity 3	biological activity 4	if antibacterial, Gram-positive or -negative?	molecular target 1	molecular target 2	molecular target 3	molecular target 4	PubMed ID	doi	Comments	
	BGC0001552	citrulassin F													
Nelly	BGC0001553	clifednamide A	Cytotoxic									30542952			
Nelly	BGC0001556	combamide	Antibacterial	Cytotoxic											
Nelly	BGC0001558	cosmomycin C	Cytotoxic												
Nelly	BGC0001562	curacomycin	Antibacterial									https:onlinelibrary.wiley.comdoiabs10.1002ajoc.201700433			
	BGC0001567	cysteoamide													
Nelly	BGC0001568	cytorhodin	Cytotoxic												
	BGC0001569	dechlorocuracomycin													
Nelly	BGC0001570	deimino-antipain	Inhibitor											protease inhibitor	
Nelly	BGC0001574	diisonitrile antibiotic SF2768	Antibacterial											copper acquisition	
Nelly	BGC0001584	C-1027	Antibacterial	Cytotoxic								3198491			
Nelly	BGC0001587	ethylenediaminesuccinic acid hydroxyarginine (EDHA)	Siderophore											siderophore	
Nelly	BGC0001590	formicamycins A-M	Antibacterial									29191667			
Nelly	BGC0001592	ferroverdin  Bagremycin	Antibacterial	Antifungal	Cytotoxic							11714229; 30526412		Bagremycin Antibiotics and Ferroverdin iron-chelators are synthetized by the Same Gene Cluster	
Nelly	BGC0001593	ficellomycin	Antibacterial	Antifungal								994319			
Nelly	BGC0001598	foxicins A-D	Antibacterial											siderophore	
Nelly	BGC0001607	gilvusmycin	Cytotoxic									10348041			
Nelly	BGC0001610	gougerotin	Antibacterial	Cytotoxic	Antiviral									Antihelmintic	
	BGC0001611	guangnanmycin													
Nelly	BGC0001619	ibomycin	Antifungal									https://www.sciencedirect.com/science/article/pii/S2451945616303944			
Nelly	BGC0001620	ilamycins	Antibacterial	Cytotoxic								31360114			
Nelly	BGC0001622	isatropolone A, isotropolone B, isotropolone C	Antiviral									https://onlinelibrary.wiley.com/doi/full/10.1002/anie.201701223?casa_token=mKwq-XdaedAAAAAA%3Ay7_2yYeK8BClGbzEgc3e7RnXwTodUYPS1cXFdDBhNEV2WCFTMpI5qikkvLFpKBuz4TA1q3AVNxDmJJsBOg			
	BGC0001623	ishigamide													
Nelly	BGC0001625	isofuranonaphthoquinone	Antibacterial									27731333			
	BGC0001633	ketomemicin B3, ketomemicin B4													
	BGC0001634	keywimysin													
	BGC0001645	lagmysin													
	BGC0001647	lagunapyrone A, lagunapyrone B, lagunapyrone C													
Nelly	BGC0001648	lasalocid	Antiprotozoa									19129623; 28956164			
	BGC0001649	lavendiol													
Nelly	BGC0001652	limazepine C, limazepine D, limazepine E, limazepine F, limazepine A	Antibacterial	Cytotoxic								24423655; 26698542			
Nelly	BGC0001661	mayamycin	Antibacterial									29515228			
Nelly	BGC0001670	monensin	Antibacterial	Antifungal	Antiviral							5489855		Antiprotozoa	
	BGC0001673	moomysin													
Nelly	BGC0001674	MS-271	Antiviral												
Nelly	BGC0001675	murayaquinone	Antibacterial									2925509			
Nelly	BGC0001690	natamycin	Antifungal 									32650062; 30562337 			
Nelly	BGC0001694	meoabyssomicin, abyssomicin	Unknown									31354863		abyssomicin C is antibacterial	
Nelly	BGC0001695	neoantimycin	Cytotoxic									29979567			
Nelly	BGC0001696	neothioviridamide	Cytotoxic									29381067			
Nelly	BGC0001700	niphimycins C-E	Antibacterial									29308897			
Nelly	BGC0001707	nosiheptide	Antibacterial									7379912			
Nelly	BGC0001709	nystatin	Antifungal									13056635, 12987085			
	BGC0001719	olimycin A, olimycin B													
Nelly	BGC0001723	oviedomycin	Cytotoxic									15368568			
	BGC0001726	pactamides													
Nelly	BGC0001731	paulomycin	Antibacterial									7076577,28846627		Paulomycin G is antitumoral	
Nelly	BGC0001732	paulomycin	Antibacterial									7076577,28846627		Paulomycin G is antitumoral	
Nelly	BGC0001735	pentostatine, vidarabine	Antiviral	Antiprotozoa								16990110; 26025154 			
	BGC0001739	phosphonoacetic Acid													
Nelly	BGC0001740	phthoxazolin	Herbicide									7775276,8407582, 19018764		phthoxazolin A-anticancer, phthoxazolin A-antifungal	
Nelly	BGC0001742	piericidin A1	Inhibitor									27301663,27325816		inhibition of bacterial T3SS	
	BGC0001746	pristinol													
	BGC0001752	qinichelins													
	BGC0001753	radamycin, globimycin										12061547			
Nelly	BGC0001755	reedsmycins	Antifungal									29914489			
Nelly	BGC0001760	rimosamide	Antibacterial									27809474			
	BGC0001762	rubrolone A, rubrolone B													
Nelly	BGC0001763	rufomycin	Antibacterial									30990022			
	BGC0001764	s56-p1													
Nelly	BGC0001766	salinamide A	Antibacterial									24843001			
Nelly	BGC0001769	saquayamycin A	Antibacterial	Cytotoxic								3840796, 31075906		saquayamycin B1 & B- antitumoral	
	BGC0001770	sceliphrolactam													
	BGC0001771	scleric acid													
Nelly	BGC0001774	spicamycin	Cytotoxic									8226322			
Nelly	BGC0001778	showdomycin	Antibacterial	Cytotoxic								4876578, 14236202			
Nelly	BGC0001779	siamycin	Antiviral									7797448, 8787894, 31026131		Siamycin I-virus fusion inhibitor, Siamycin-I-antibacterial	
	BGC0001782	spiroindimicin A, spiroindimicin B, spiroindimicin C, spiroindimicin D, indimicin A, indimicin B, indimicin C, indimicin D, indimicin E, lynamicin A, lynamicin D, lynamicin F, lynamicin G													
Nelly	BGC0001783	streptonigrin	Antibacterial	Cytotoxic								14287983, 14436228			
Nelly	BGC0001784	streptoseomycin	Antibacterial									29697266			
Nelly	BGC0001785	streptovaricin	Antibacterial									13411413			
Nelly	BGC0001792	surugamide A, surugamide D	Antifungal									28590725			
	BGC0001797	telomestatin													
Nelly	BGC0001801	thiazostatin, watasemycin A, watasemycin B, 2-hydroxyphenylthiazoline enantiopyochelin, isopyochelin	Antibacterial	Antifungal								12014439			
Nelly	BGC0001802	thioholgamide A, thioholgamide B	Cytotoxic									28981254			
Nelly	BGC0001803	thioviridamide	Cytotoxic									16568712			
Nelly	BGC0001804	tiancimycin	Cytotoxic									29396746			
	BGC0001807	totopotensamide A, totopotensamide B													
Nelly	BGC0001808	toyocamycin	Antifungal	Cytotoxic								13345725; 27912102			
	BGC0001813	tyrobetaine										29510029			
Nelly	BGC0001814	ulleungmycin	Antibacterial									29083895			
Nelly	BGC0001815	uncialamycin	Antibacterial									16268546			
Nelly	BGC0001817	vancosamine	Antibacterial	Antifungal											
	BGC0001818	vazabitide A													
	BGC0001819	venemycin													
	BGC0001823	weishanmycin													
Nelly	BGC0001828	griseochelin	Antibacterial	Antiviral								6434502			
Nelly	BGC0001829	α,β-epoxyketone	Cytotoxic									10465562			
	BGC0001840	detoxin S1													
	BGC0001878	detoxin N2, detoxin N3													
	BGC0001885	oxazolepoxidomycin A													
Nelly	BGC0001895	huanglongmycin A, huanglongmycin B, huanglongmycin C	Antibacterial	Cytotoxic								https:mibig.secondarymetabolites.orgquery			
Nelly	BGC0001896	carbazomycin B	Antibacterial	Antifungal								7410212			
	BGC0001898	thioplatensimycin, thioplatencin													
	BGC0001903	neocarazostatin A													
Nelly	BGC0001905	violapyrone B	Antiviral									30033162		methylated violapyrones-antivirals	
Nelly	BGC0001908	sceliphrolactam	Antifungal									21247188			
Nelly	BGC0001910	cyslabdan	Antibacterial									26507838			
	BGC0001911	raimonol													
	BGC0001912	(2S,6R)-diamino-(5R,7)-dihydroxy-heptanoic acid													
	BGC0001914	benzastatin J, 7-hydroxyl benzastatin B, 7-hydroxyl O-demethylbenzastatin A, JBIR-67, 7-hydroxyl benzastatin F, 7-hydroxyl O-demethylbenzastatin D, O-demethylvirantmycin, 7-hydroxyl benzastatin D, virantmycin, benzastatin K, methylbenzastatin K													
	BGC0001916	lavendiol													
Nelly	BGC0001917	5-alkyl-1,2,3,4-tetrahydroquinolines, streptoaminals	Antifungal									30629078			
	BGC0001918	JBIR-06										30698439			
Nelly	BGC0001919	neoantimycin	Cytotoxic									29693372			
Nelly	BGC0001920	siamycin I	Antibacterial	Antiviral								31026131			
Nelly	BGC0001921	MS-271	Antiviral												
Nelly	BGC0001922	isoindolinomycin	Antibacterial	Cytotoxic								https://www.mdpi.com/2079-6382/8/3/133/htm			
Nelly	BGC0001925	altemicidin, SB-203207, SB-203208	Cytotoxic									30643149; 2584138 , 2584138 		antiparasite-acaricidal	
Nelly	BGC0001927	A-94964	Antibacterial									19160520			
	BGC0001928	(2R,3S,4S)-5-fluoro-2,3,4-trihydroxypentanoic acid													
Nelly	BGC0001934	armeniaspirols	Antibacterial									30747534			
Nelly	BGC0001935	3,7-dihydroxytropolone	Cytotoxic									3417559			
Nelly	BGC0001937	tubercidin	Cytotoxic	Antiprotozoa								13513512; 30677668			
Nelly	BGC0001939	streptoseomycin	Antibacterial									29697266			
	BGC0001942	malonomycin										https:www.nature.comarticless41929-018-0178-2			
	BGC0001948	naseseazine C, C3-aryl pyrroloindolines													
	BGC0001956	miharamycin A, miharamycin B										18833553			
Nelly	BGC0001957	amipurimycin	Antifungal									838627			
Nelly	BGC0001958	amipurimycin	Antifungal									838627			
Nelly	BGC0001959	taylorflavin A, taylorflavin B	Antibacterial									30830740			
	BGC0001960	hiroshidine													
	BGC0001961	ashimides													
Nelly	BGC0001965	nybomycin	Antibacterial	Antiviral								16589716			
Nelly	BGC0001967	acyldepsipeptide 1	Antibacterial	Antifungal	Cytotoxic							30958008; 24606742			
Nelly	BGC0001972	toxoflavin	Antifungal									5905124;  30824447			
Nelly	BGC0001973	fervenulin	Antibacterial	Antifungal	Antihelmintic							13815215;  21841897			
Nelly	BGC0001975	atratumycin	Antibacterial									31569487			
Nelly	BGC0001979	LL-D49194α1 (LLD)	Cytotoxic									30855966			
	BGC0001984	sarpeptin A, sarpeptin B													
Nelly	BGC0001985	pyrazomycin	Antiviral									4693477; 12814717			
	BGC0001986	purincyclamide													
Nelly	BGC0001994	β-ethynylserine	Antibacterial									3082841			
Nelly	BGC0002000	setomimycin	Antibacterial	Cytotoxic								https://www.jstage.jst.go.jp/article/antibiotics1968/31/11/31_11_1091/_article/-char/ja/			
	BGC0002006	albusnodin													
Nelly	BGC0002010	streptophenazine B, streptophenazine C, streptophenazine F, streptophenazine G, streptophenazine H	Antibacterial									27097765			
Nelly	BGC0002012	julichrome Q3-3, julichrome Q3-5	Antibacterial									17887721			
Nelly	BGC0002013	curacozole	Cytotoxic									30795576			
Nelly	BGC0002015	aborycin	Antibacterial									30795576			
	BGC0002016	lugdunomycin													
	BGC0002018	azomycin										13152032			
	BGC0002019	tiancilactone													
Nelly	BGC0002022	armeniaspirol A, armeniaspirol B, armeniaspirol C	Antibacterial									https://chemistry-europe.onlinelibrary.wiley.com/doi/full/10.1002/chem.201201635			
Nelly	BGC0002028	frigocyclinone	Antibacterial	Cytotoxic								16060387; 31303144			
Nelly	BGC0002029	bagremycin A, bagremycin B, bagremycin C, bagremycin E, bagremycin F, bagremycin G, ferroverdin A, ferroverdin B, ferroverdin C	Antibacterial	Antifungal	Cytotoxic							30526412			
Nelly	BGC0002032	pentamycin	Antifungal	Antiprotozoa								13525250; 25703311			
Nelly	BGC0002033	spiramycin	Antibacterial	Antiprotozoa								31365255			
	BGC0002034	perquinoline A, perquinoline B, perquinoline C													
Nelly	BGC0002036	dehydrofosmidomycin	Antibacterial									31451762			
Nelly	BGC0000024	aureothin	Antibacterial	Cytotoxic	Protozoa							24543805; 20662518 		Insecticide	
Nelly	BGC0000028	bafilomycin B1	Antibacterial	Antifungal								6423597			
David Meijer	BGC0000029	BE-14106	Antibacterial	Antifungal			Gram-positive					1500352	https://doi.org/10.7164/antibiotics.45.868	Targets murine tumor cell lines	
Nelly	BGC0000031	borrelidin	Antibacterial	Antifungal	Cytotoxic							18134558,5836317,https:www.nih.govnews-eventsnih-research-mattersscientists-discover-antibiotic-mechanism		Angiogenesis Inhibitor, Antiprotozoa, Insecticide, Antiviral, Herbicide	
Nelly	BGC0000036	chlorothricin, deschlorothricin	Antibacterial									4623590			
	BGC0000038	coelimycin P1													
Nelly	BGC0000065	rustmicin	Antifungal									9614099			
Nelly	BGC0000083	lactimidomycin, 8,9-dihydrolactimidomycin, 8-hydroxy-8,9-dihydrolactidomycin, 17-hydroxy-8-desmethoxy-isomigrastatin	Cytotoxic	Antiviral								1429229; 26872864			
Nelly	BGC0000097	ML-449	Antifungal												
Nelly	BGC0000110	spectinabilin, orinocin, SNF4435C, SNF4435D	Antiviral	Antihelmintic	Antiprotozoa							17763486,31992748;30461185; 11897600			
Nelly	BGC0000112	neocarzinostatin	Cytotoxic												
Nelly	BGC0000114	nigericin	Antibacterial	Antifungal	Cytotoxic							24541690,5723082; 28941461			
Nelly	BGC0000115	nystatin A1	Antifungal												
Nelly	BGC0000119	7-deoxypactamycin	Cytotoxic	Antiprotozoa								3759660			
Nelly	BGC0000144	salinomycin	Antifungal	Antiprotozoa								22156425; 27457761			
Nelly	BGC0000151	stambomycin A, stambomycin B, stambomycin C, stambomycin D	Cytotoxic									21444795			
Nelly	BGC0000158	tautomycetin	Antifungal	Cytotoxic								19372564			
Nelly	BGC0000159	tautomycin	Antibacterial	Antifungal	Cytotoxic							19372564,3610839		protein phosphatase inhibitor	
Nelly	BGC0000171	9-methylstreptimidone	Antifungal									https:www.publish.csiro.auCHCH9760673			
Nelly	BGC0000175	cycloheximide	Antifungal									18880569			
Nelly	BGC0000177	iso-migrastatin, migrastatin, dorrigocin A, dorrigocin B, 13-epi-dorrigocin A	Cytotoxic									19132897		inhibitors of cell migration	
Nelly	BGC0000187	asukamycin	Antibacterial									993129			
Nelly	BGC0000194	actinorhodin	Antibacterial									993778			
Nelly	BGC0000195	alnumycin A, alnumycin B, alnumycin C, alnumycin P, prealnumycin, thalnumycin A, thalnumycin B, K1115A, 1,6-dihydro-8-propylanthraquinone	Antibacterial	Cytotoxic								9589078			
Nelly	BGC0000197	aranciamycin	Antibacterial									1322986			
Nelly	BGC0000204	benastatin A, benastatin B, BE-43767, TAN1532B	Cytotoxic									19047004			
Nelly	BGC0000210	chromomycin A3	Cytotoxic									15112992			
Nelly	BGC0000212	cinerubin B	Cytotoxic												
Nelly	BGC0000213	colabomycin E	Antibacterial									24838618			
Nelly	BGC0000219	elloramycin	Cytotoxic									3840789			
Nelly	BGC0000220	enterocin	Antibacterial									770404			
Nelly	BGC0000224	fredericamycin A	Cytotoxic									7319903			
Nelly	BGC0000227	granaticin	Antibacterial									818999			
Nelly	BGC0000229	grincamycin	Antibacterial	Cytotoxic								3429346			
	BGC0000230	griseorhodin A										5881054			
Nelly	BGC0000247	mithramycin	Antibacterial	Cytotoxic								8654997			
Nelly	BGC0000253	oviedomycin	Cytotoxic												
Nelly	BGC0000262	prejadomycin, rabelomycin, gaudimycin C, gaudimycin D, UWM6, gaudimycin A	Antibacterial	Cytotoxic								5459625			
Nelly	BGC0000264	resistomycin, resistoflavine	Antibacterial	Cytotoxic								16580188			
Nelly	BGC0000269	SF2575	Antibacterial	Cytotoxic								1577660			
Nelly	BGC0000273	steffimycin D	Cytotoxic									4217786, https:www.sciencedirect.comsciencearticleabspii0005278775900556?via%3Dihub,16751529			
Nelly	BGC0000275	tetracenomycin C	Antibacterial	Cytotoxic								3474613, 485765			
Nelly	BGC0000290	A-47934	Antibacterial									3793622			
Nelly	BGC0000306	arylomycin	Antibacterial									12195962			
Nelly	BGC0000315	CDA1b, CDA2a, CDA2b, CDA3a, CDA3b, CDA4a, CDA4b	Antibacterial									6668466			
Nelly	BGC0000319	cephamycin C	Antibacterial									4790591			
Nelly	BGC0000345	eponemycin	Cytotoxic	Antiprotozoa								2106503; 31993450			
Nelly	BGC0000374	hormaomycin, hormaomycin A1, hormaomycin A2, hormaomycin A3, hormaomycin A4, hormaomycin A5, hormaomycin A6	Antibacterial									21439483		bacterial signaling	
Nelly	BGC0000406	phosphinothricintripeptide	Antibacterial									1367200,11472937			
Nicole Avalon	BGC0000429	skyllamycin A	Antibacterial	Inhibitor			Gram-positive	PDGF beta-receptor				24295976, 21456593	10.7164/antibiotics.54.405  //  10.1128/AAC.01781-13 // 10.1021/ja108971p	inhibition of phosphorylation of PDGF beta-receptor; activity against Bacillus subtilis	
Nicole Avalon	BGC0000429	skyllamycin B, skyllamycin C	Antibacterial	Other			Gram-negative					24295976	10.1128/AAC.01781-13 // 10.1021/ja108971p	nonantibiotic; inhibit biofilm formation in Pseudomonas aeruginosa	
Nelly	BGC0000431	stenothricin	Antibacterial									4215397			
Nicole Avalon / Nelly	BGC0000453	valinomycin	Antiviral	Antibacterial	Cytotoxic		Gram-positive					16511823, 10400343, 15876477, 6508319	10.1002/cbic.200500425 // 10.1016/s0968-0896(99)00024-3 // 10.1016/j.tox.2005.04.003	antifungal, antibacterial (Mycobacterium tuberculosis), insecticidal‐nematocidal; Cytotoxic with induction of apoptosis in mammalian cell types, NK cell inhibition 	
Nelly	BGC0000459	griseoviridin, fijimycin A	Antibacterial									23161816			
Nelly	BGC0000468	bottromycin A2	Antibacterial									19115340			
Nelly	BGC0000503	cinnamycin	Antibacterial									24542148,2272918			
Nicole Avalon	BGC0000518	informatipeptin	Unknown									30065907	10.1002/open.201800130	no bioactivity reported	
Nicole Avalon	BGC0000546	SAL-2242	Unknown									21983601	10.1038/nchembio.684	no bioactivity reported	
Nicole Avalon	BGC0000551	SapB	Unknown									15277670	10.1073/pnas.0404220101	morphogenetic protein involved in sporulation	
Nicole Avalon	BGC0000553	SRO15-2212	Unknown									21983601	10.1038/nchembio.684	no bioactivity reported	
Nicole Avalon	BGC0000554	SRO15-3108	Unknown									21983601	10.1038/nchembio.684	no bioactivity reported	
Nicole Avalon	BGC0000563	venezuelin	Unknown									20351769	10.1371/journal.pbio.1000339	assays with no notable antibiotic activity	
Nicole Avalon	BGC0000578	SRO15-2005	Unknown									21983601	10.1038/nchembio.684	no bioactivity reported	
Nicole Avalon	BGC0000579	SSV-2083	Unknown									21983601	10.1038/nchembio.684	no bioactivity reported	
Nelly	BGC0000582	cypemycin	Antibacterial	Cytotoxic								7802859			
Nicole Avalon	BGC0000583	grisemycin	Cytotoxic					HL-60 cells, but mechanism unknown				26958869	10.1021/acs.orglett.6b00332		
Nicole Avalon	BGC0000595	SCO-2138	Unknown									21983601	10.1038/nchembio.684	no bioactivity reported	
Nicole Avalon	BGC0000597	SWA-2138	Unknown									21983601	10.1038/nchembio.684	no bioactivity reported	
Nelly	BGC0000598	polytheonamide A, polytheonamide B	Cytotoxic									27744521			
Nelly	BGC0000603	cyclothiazomycin	Antifungal									2071486		inhibitory activity against human plasma renin	
Nelly	BGC0000654	phenalinolactone A	Antibacterial									21179045			
Nelly	BGC0000665	xiamycin	Cytotoxic	Antiviral								20880706			
Nelly	BGC0000666	xiamycin A	Cytotoxic	Antiviral								20880706			
Nicole Avalon	BGC0000677	cyclooctatin	Antiprotozoal	Inhibitor	Antibacterial		Gram-positive	Lyso-PL				1335449; 27554496	10.7164/antibiotics.45.1587 // 10.1007/s00253-016-7804-1	inhibitor of lysophospholipase; activity against Bacillus cereus; antiplasmodial against Plasmodium falciparum	
Nelly	BGC0000722	validamycin A	Antifungal									17335096			
Nelly	BGC0000805	moenomycin	Antibacterial	Antifungal								4312665			
	BGC0000820	physostigmine												cholinesterase inhibitor	
Nelly	BGC0000832	clorobiocin	Antibacterial									94144			
Nelly	BGC0000833	coumermycin A1	Antibacterial									4964458			
Nelly	BGC0000834	cathomycin	Antibacterial									13425380,13319887			
Nelly	BGC0000841	alanylclavam, 2-hydroxymethylclavam, 2-formyloxymethylclavam, clavam-2-carboxylate, clavulanic acid	Antibacterial									879738			
Nelly	BGC0000843	alanylclavam, 2-hydroxymethylclavam, 2-formyloxymethylclavam, clavam-2-carboxylate	Antibacterial									879738			
Nelly	BGC0000845	clavulanic acid	Antibacterial									879738			
Nelly	BGC0000847	thienamycin	Antibacterial									761989			
	BGC0000849	SCB1, SCB2, SCB3										12764566		SCB signalling	
Nelly	BGC0000880	tunicamycin B1	Antibacterial	Cytotoxic								22717438; 6293705			
Nelly	BGC0000893	chloramphenicol	Antibacterial	Antiviral								17737967			
Nelly	BGC0000898	desosamine										659329		moiety of antibiotics	
Nelly	BGC0000915	mitomycin	Cytotoxic									10099135			
Nelly	BGC0000938	fosfomycin	Antibacterial									4840428,5167213			
Nelly	BGC0000940	desferrioxamin B, desferrioxamine E										21628895		siderophore biofilm inhibitiion	
Nelly	BGC0000950	napsamycin A, napsamycin B, napsamycin C, napsamycin D, mureidomycin A, mureidomycin B	Antibacterial									2498274			
Nelly	BGC0000953	amicetin	Antibacterial	Cytotoxic								4961660,5883473			
Nelly	BGC0000958	antimycin	Antifungal									15442289			
Nelly	BGC0000963	bleomycin	Cytotoxic												
Nelly	BGC0000965	C-1027	Cytotoxic												
	BGC0000971	cinnabaramide A													
	BGC0000973	collismycin A										28951224			
Nelly	BGC0001004	lobophorin B	Antibacterial									https://pubs.rsc.org/en/content/articlehtml/2019/nj/c9nj01619h?casa_token=ckNNYN9xUygAAAAA:aKNvhDvTxkAtrVbafd1a1Opsn1UOOSLkKJBXyPAobSSh25HvPxzAutdnrsjwAKdRKEtnvjViUMjaeH-N			
	BGC0001046	streptolydigin										13355381			
	BGC0001052	tirandamycin										5092790			
Nelly	BGC0001058	zorbamycin	Cytotoxic												
Nicole Avalon	BGC0001061	polyketomycin	Antibacterial	Cytotoxic			Gram-positive					9531983	10.7164/antibiotics.51.21	antibiotic against several Gram-positive organisms; also cytotoxic in a number of cell lines: L1210 leukemia, EL-4 leukemia, P388 leukemia, Ehrlich carcinoma, IMC carcinoma, colon 26 adenocarcinoma, Meth A fibrosarcoma, FS-3 fibroscarcoma, B16-BL10 melanoma	
Nicole Avalon	BGC0001066	kendomycin	Antibacterial	Inhibitor			both	endothelin receptor				17592829	10.1002/cbic.200700050	broad-spectrum antibiotic activity, proteosome inhibitor, endothelin recetor antagonist, cytotoxicity in HEP G2, MCF7, and HMO2 cell lines.	
Nicole Avalon	BGC0001070	kirromycin	Inhibitor	Antibacterial			Gram-positive	EF-Tu				4373734	10.1073/pnas.71.12.4910		
Nicole Avalon	BGC0001072	simocyclinone D8	Inhibitor	Antibacterial			Gram-positive	DNA gyrase	topoisomerase II			15728908, 11079799	10.1128/AAC.49.3.1093-1100.2005 // 10.7164/antibiotics.53.779	Topoisomerase, DNA gyrase inhibitor; Gram-positive antibiotic (Bacillus brevis, Streptomyces viridochromogenes)	
Nicole Avalon	BGC0001076	liposidomycin B, liposidomycin A, liposidomycin C, liposidomycin Z, liposidomycin H, liposidomycin G, liposidomycin L, liposidomycin M, liposidomycin K, liposidomycin N	Antibacterial	Inhibitor			both	translocase I	phospho-N-acetylmuramyl-pentapeptide translocase			4077739, 8807054, 31582803, 9727391	10.7164/antibiotics.38.1617 // 10.1128/AAC.40.7.1640 // 10.1038/s41429-019-0241-5 // 10.7164/antibiotics.51.647	active against Mycobacterium spp., some E. coli strains, and Bacillus subtilis	
Nicole Avalon	BGC0001079	napyradiomycin A80915C	Cytotoxic	Other	Antibacterial		Gram-positive	Grp94				3710909, 21731557, 24292715	10.7164/antibiotics.39.487 // 10.3390/md9040680 // 10.1039/c3ob41355a	Binds to Grp94; activity against MRSA and other Gram-positive bacteria	
Nicole Avalon	BGC0001080	endophenazine A, endophenazine B	Antibacterial	Antifungal			Gram-positive					12458768	10.7164/antibiotics.55.794	endophenazine A is active against Gram-positive bacteria (Arthrobacter spp., Bacillus subtilis, Staphlococus aureus, Streptomyces sp.) and fungi (Mucor sp., Botrytis sp., and Paecilomyces sp.); endophenazine B does not share this antibiotic profile.	
Nicole Avalon	BGC0001083	merochlorin A, merochlorin B, deschloro-merochlorin A, deschloro-merochlorin B, isochloro-merochlorin B, dichloro-merochlorin B, merochlorin D, merochlorin C	Antibacterial				Gram-positive					22784372	10.1021/ja305665f		
Nelly	BGC0001101	leinamycin	Cytotoxic									2621160			
David Meijer	BGC0001119	divergolide A, divergolide B, divergolide C, divergolide D	Unknown										10.1021/jacs.7b13092; 10.1016/j.gene.2014.04.052 	divergolide I has antimicrobial (gram-positive) and antitumor activity but is structurally different from divergolide A-D	
David Meijer	BGC0001140	platensimycin	Antibacterial				Gram-positive	Unknown					10.1128/AAC.01358-08	split up compounds of BGC0001140 as both compounds have the same bioactivity on their own; not as a mixture	
David Meijer	BGC0001140	platencin	Antibacterial				Gram-positive	Unknown					10.1128/AAC.01358-08	split up compounds of BGC0001140 as both compounds have the same bioactivity on their own; not as a mixture	
David Meijer	BGC0001150	pamamycin-607	Antibacterial				Gram-positive	Unknown					10.7164/antibiotics.32.673		
David Meijer	BGC0001156	platencin	Antibacterial				Gram-positive	Unknown					10.1128/AAC.01358-08		
David Meijer	BGC0001157	bottromycin A2	Antibacterial				Gram-positive	Unknown					doi.org/10.1002/anie.200804138		
David Meijer	BGC0001159	marinopyrrole A, marinopyrrole E, marinopyrrole D, marinopyrrole C, marinopyrrole B	Antibacterial				Gram-positive	Unknown					10.1021/jo1002054		
David Meijer	BGC0001169	piericidin A1	Antibacterial	Cytotoxic			Unknown	Unknown	Protein				10.1021/ol4034176	inhibitor of both mitochondrial and bacterial NADH−ubiquinone oxidoreductase; cytotoxic activity for etoposide resistant cancer cells during glucose deprivation	
Nelly	BGC0001172	chlorizidine A	Cytotoxic												
Nelly	BGC0001177	mensacaricin	Cytotoxic												
Nicole Avalon	BGC0001179	rishirilide B, rishirilide A	Inhibitor					alpha-2-macroglobulin				29518990, 6209258	10.3390/antibiotics7010020 // 10.7164/antibiotics.37.1091		
Nicole Avalon	BGC0001221	marinophenazine A, phenaziterpene A	Unknown									26319318	10.1016/j.jbiotec.2015.08.009	no bioactivity reported	
Nicole Avalon	BGC0001229	SBI-06990 A1, SBI-06989 A2	Unknown									24621781	10.1371/journal.pone.0091352	no bioactivity reported	
Tiago Leao	BGC0001230	salinamide A, salinamide B, salinamide C, salinamide D, salinamide E, salinamide F, desmethylsalinamide C, desmethylsalinamide E	Antibacterial				both	RNA polymerase				24843001	10.7554/eLife.02451		
Nicole Avalon	BGC0001283	arsono-polyketide	Unknown									23709624	10.1093/gbe/evt082	no bioactivity reported	
Nelly	BGC0001334	caldoniamide A, cladoniamide B, cladoniamide C7, cladoniamide D, cladoniamide E, cladoniamide F, cladoniamide G	Cytotoxic												
Nicole Avalon	BGC0001348	JBIR-100	Cytotoxic	Inhibitor				V-ATPase				20808316	10.1038/ja.2010.104	cytotoxic in HeLa cervical cancer cell line; V-ATPase inhibitor	
Tiago Leao	BGC0001433	argimycin PI, argimycin PII, nigrifactin, argimycin PIV, argimycin PV, argimycin PVI, argimycin PIX	Antibacterial				Gram-positive					28239372	10.3389/fmicb.2017.00194		
Tiago Leao	BGC0001435	ikarugamycin	Antibacterial	Antifungal			Gram-positive					25551780	10.3390/md13010128		
Tiago Leao	BGC0001438	warkmycin CS1, warkmycin CS2	Antibacterial	Cytotoxic			Gram-positive					23860362	10.1038/ja.2013.74		
Damien Gayrard	BGC0001439	antibiotic HKI 10311129, antibiotic A2121-1, cervimycin D, cervimycin C, cervimycin A	Antibacterial				Gram-positive					15940739 / 15326518	10.1002/chem.200500320 / 10.1039/B409221J		
Nelly	BGC0001441	belactosin A, belactosin C	Cytotoxic												
Damien Gayrard	BGC0001442	actinonin	Antibacterial				both	peptide deformylase				10684604	10.1021/bi992245y		
Damien Gayrard	BGC0001452	sipanmycin	Cytotoxic	Antibacterial			Gram-positive					30006405	https://doi.org/10.1128/AEM.01462-18 •		
Tiago Leao	BGC0001468	bicyclomycin	Antibacterial				both	rho transcription termination factor				16181146	10.2174/1568005054880136		
Damien Gayrard	BGC0001474	thiopeptin	Antibacterial				Gram-positive								
Tiago Leao	BGC0001476	pseudouridimycin	Antibacterial				both	RNA polymerase				28895263	10.1002/anie.201708133		
Nelly	BGC0001477	lydicamycin	Antibacterial	Antifungal								2026553; 2026553 			
